"","long","lat","timestamps","timelong","sessions","days","elapsed","diff","diffsum","nextlong","nextlat","longabs"
"110",-113.99616096,46.88019856,"2020-08-19T19:39:06.000Z",1597844346,2,2,49146,45.691999912262,670.469000101089,-113.9963397,46.8796479,113.99616096
"111",-113.9963397,46.8796479,"2020-08-19T19:39:25.754Z",1597844365.754,2,2,49165.7539999485,19.7539999485016,690.223000049591,-113.99646063,46.87999265,113.9963397
"112",-113.99646063,46.87999265,"2020-08-19T19:39:27.000Z",1597844367,2,2,49167,1.24600005149841,691.469000101089,-113.9959215,46.8793772,113.99646063
"113",-113.9959215,46.8793772,"2020-08-19T19:40:05.990Z",1597844405.99,2,2,49205.9900000095,38.9900000095367,730.459000110626,-113.9958882,46.8793631,113.9959215
"114",-113.9958882,46.8793631,"2020-08-19T19:40:06.344Z",1597844406.344,2,2,49206.3440001011,0.354000091552734,730.813000202179,-113.9953301,46.8793835,113.9958882
"115",-113.9953301,46.8793835,"2020-08-19T19:40:27.094Z",1597844427.094,2,2,49227.0940001011,20.75,751.563000202179,-113.994833,46.8787915,113.9953301
"116",-113.994833,46.8787915,"2020-08-19T19:41:08.286Z",1597844468.286,2,2,49268.2860000134,41.191999912262,792.755000114441,-113.9946455,46.8787765,113.994833
"117",-113.9946455,46.8787765,"2020-08-19T19:41:09.292Z",1597844469.292,2,2,49269.2920000553,1.00600004196167,793.761000156403,-113.9945525,46.8780292,113.9946455
"118",-113.9945525,46.8780292,"2020-08-19T19:42:01.339Z",1597844521.339,2,2,49321.3389999866,52.0469999313354,845.808000087738,-113.99476656,46.87835763,113.9945525
"119",-113.99476656,46.87835763,"2020-08-19T19:42:02.000Z",1597844522,2,2,49322,0.66100001335144,846.469000101089,-113.99599758,46.87722828,113.99476656
"120",-113.99599758,46.87722828,"2020-08-19T19:43:42.000Z",1597844622,2,2,49422,100,946.469000101089,-113.9964244,46.8766095,113.99599758
"121",-113.9964244,46.8766095,"2020-08-19T19:44:04.521Z",1597844644.521,2,2,49444.5209999084,22.5209999084473,968.990000009537,-113.99635276,46.87698717,113.9964244
"122",-113.99635276,46.87698717,"2020-08-19T19:44:05.000Z",1597844645,2,2,49445,0.479000091552734,969.469000101089,-113.9964632,46.8766191,113.99635276
"123",-113.9964632,46.8766191,"2020-08-19T19:44:22.395Z",1597844662.395,2,2,49462.3949999809,17.3949999809265,986.864000082016,NA,NA,113.9964632
"124",-113.9969021,46.8758072,"2020-08-19T19:45:08.366Z",1597844708.366,2,2,49508.3659999371,45.970999956131,1032.83500003815,-113.99683584,46.87602861,113.9969021
